resampling_group,model_accuracy,AUC,f1,precision,recall,statistical_parity_sex,equalized_odds_sex,statistical_parity_race,equalized_odds_race
Upsampled_Race_Sex,0.6689717378232111,0.6689345552161436,0.6470022443090735,0.6925188743994509,0.6070998796630566,"{'Statistical Parity Difference': 0.073, 'Statistical Parity ratio': 0.847}","{'Equalized Odds Difference': 0.073, 'Equalized Odds Ratio': 0.787}","{'Statistical Parity Difference': 0.138, 'Statistical Parity ratio': 0.729}","{'Equalized Odds Difference': 0.153, 'Equalized Odds Ratio': 0.616}"
Downsampled_Race_Sex,0.672514619883041,0.6741799774258644,0.6216216216216215,0.7479674796747967,0.5317919075144508,"{'Statistical Parity Difference': 0.143, 'Statistical Parity ratio': 0.672}","{'Equalized Odds Difference': 0.202, 'Equalized Odds Ratio': 0.305}","{'Statistical Parity Difference': 0.053, 'Statistical Parity ratio': 0.864}","{'Equalized Odds Difference': 0.152, 'Equalized Odds Ratio': 0.414}"
Upsampling_Race_Downsampling_Sex,0.649546827794562,0.6471682551319646,0.6196721311475409,0.63,0.6096774193548387,"{'Statistical Parity Difference': 0.069, 'Statistical Parity ratio': 0.859}","{'Equalized Odds Difference': 0.109, 'Equalized Odds Ratio': 0.835}","{'Statistical Parity Difference': 0.196, 'Statistical Parity ratio': 0.648}","{'Equalized Odds Difference': 0.19, 'Equalized Odds Ratio': 0.55}"
Downsampling_Race_Upsampling_Sex,0.6351931330472103,0.634808499120314,0.6113651208360549,0.6490984743411928,0.5777777777777777,"{'Statistical Parity Difference': 0.103, 'Statistical Parity ratio': 0.791}","{'Equalized Odds Difference': 0.109, 'Equalized Odds Ratio': 0.698}","{'Statistical Parity Difference': 0.14, 'Statistical Parity ratio': 0.729}","{'Equalized Odds Difference': 0.192, 'Equalized Odds Ratio': 0.677}"
Downsampling_Sex_Upsampling_Race,0.6685714285714286,0.6669934640522877,0.6419753086419754,0.6753246753246753,0.611764705882353,"{'Statistical Parity Difference': 0.085, 'Statistical Parity ratio': 0.825}","{'Equalized Odds Difference': 0.081, 'Equalized Odds Ratio': 0.809}","{'Statistical Parity Difference': 0.245, 'Statistical Parity ratio': 0.563}","{'Equalized Odds Difference': 0.356, 'Equalized Odds Ratio': 0.549}"
Upsampling_Sex_Downsampling_Race,0.6366427840327533,0.6396976789054701,0.6033519553072625,0.6887755102040817,0.536779324055666,"{'Statistical Parity Difference': 0.133, 'Statistical Parity ratio': 0.716}","{'Equalized Odds Difference': 0.134, 'Equalized Odds Ratio': 0.601}","{'Statistical Parity Difference': 0.164, 'Statistical Parity ratio': 0.661}","{'Equalized Odds Difference': 0.22, 'Equalized Odds Ratio': 0.604}"
Upsampling_Sex_Race,0.6470588235294118,0.6472066983692171,0.6117397454031118,0.6811023622047244,0.555198973042362,"{'Statistical Parity Difference': 0.109, 'Statistical Parity ratio': 0.764}","{'Equalized Odds Difference': 0.124, 'Equalized Odds Ratio': 0.64}","{'Statistical Parity Difference': 0.164, 'Statistical Parity ratio': 0.666}","{'Equalized Odds Difference': 0.22, 'Equalized Odds Ratio': 0.635}"
Downsampling_Sex_Race,0.6091644204851752,0.6106698091247673,0.6005509641873278,0.6374269005847953,0.5677083333333334,"{'Statistical Parity Difference': 0.024, 'Statistical Parity ratio': 0.95}","{'Equalized Odds Difference': 0.055, 'Equalized Odds Ratio': 0.853}","{'Statistical Parity Difference': 0.247, 'Statistical Parity ratio': 0.581}","{'Equalized Odds Difference': 0.279, 'Equalized Odds Ratio': 0.423}"
